t,truck_id,shovel_id,event,payload_t
3439.6,24,101,return,0.0
3485.6,6,101,dump,217.5
3485.6,15,101,return,0.0
3530.7,6,101,return,0.0
3530.7,29,101,dump,144.6
3550.8,35,1,haul,135.6
3550.8,36,1,load,0.0
3578.5,29,101,return,0.0
3578.5,30,101,dump,237.2
3642.0,30,101,return,0.0
3642.0,39,101,dump,228.0
3706.9,13,101,dump,92.0
3706.9,39,101,return,0.0
3761.0,13,101,return,0.0
3761.0,22,101,dump,93.5
3812.8,22,101,return,0.0
3812.8,33,101,dump,219.7
3820.0,31,1,load,0.0
3820.0,36,1,haul,212.7
3860.1,3,101,dump,229.5
3860.1,33,101,return,0.0
3903.8,3,101,return,0.0
3903.8,32,101,dump,147.2
3946.5,7,101,dump,96.2
3946.5,32,101,return,0.0
3980.2,8,1,load,0.0
3980.2,31,1,haul,91.9
3998.7,7,101,return,0.0
3998.7,46,101,dump,99.1
4054.7,46,101,return,0.0
4122.4,35,101,dump,135.6
4157.4,8,1,haul,153.4
4157.4,28,1,load,0.0
4182.6,35,101,return,0.0
4305.0,21,1,load,0.0
4305.0,28,1,haul,93.1
4389.2,36,101,dump,212.7
4469.8,36,101,return,0.0
4541.7,31,101,dump,91.9
4592.1,31,101,return,0.0
4610.5,21,1,haul,227.0
4610.5,43,1,load,0.0
4729.4,8,101,dump,153.4
4748.6,34,1,load,0.0
4748.6,43,1,haul,99.0
4797.4,8,101,return,0.0
4866.5,28,101,dump,93.1
4880.8,2,1,load,0.0
4880.8,34,1,haul,90.9
4922.0,28,101,return,0.0
5057.7,2,1,haul,139.4
5057.7,17,1,load,0.0
5170.6,21,101,dump,227.0
5225.3,16,1,load,0.0
5225.3,17,1,haul,143.7
5238.2,21,101,return,0.0
5315.4,43,101,dump,99.0
5342.5,16,1,haul,96.8
5342.5,19,1,load,0.0
5387.4,43,101,return,0.0
5442.4,34,101,dump,90.9
5457.0,19,1,haul,98.7
5457.0,38,1,load,0.0
5499.3,34,101,return,0.0
5623.8,2,101,dump,139.4
5677.5,2,101,return,0.0
5704.5,12,1,load,0.0
5704.5,38,1,haul,136.7
5791.5,17,101,dump,143.7
5854.0,17,101,return,0.0
5909.3,16,101,dump,96.8
5966.3,11,1,load,0.0
5966.3,12,1,haul,212.9
5969.3,16,101,return,0.0
6024.9,19,101,dump,98.7
6099.5,19,101,return,0.0
6175.3,4,1,load,0.0
6175.3,11,1,haul,146.6
6270.6,38,101,dump,136.7
6316.5,4,1,haul,96.1
6316.5,26,1,load,0.0
6337.7,38,101,return,0.0
6506.1,26,1,haul,145.0
6506.1,45,1,load,0.0
6518.3,12,101,dump,212.9
6574.1,12,101,return,0.0
6741.5,11,101,dump,146.6
6792.2,11,101,return,0.0
6797.6,40,1,load,0.0
6797.6,45,1,haul,221.1
6883.3,4,101,dump,96.1
6921.5,20,1,load,0.0
6921.5,40,1,haul,102.0
6923.5,4,101,return,0.0
7072.3,26,101,dump,145.0
7074.0,18,1,load,0.0
7074.0,20,1,haul,134.1
7127.3,26,101,return,0.0
7353.4,45,101,dump,221.1
7375.3,18,1,haul,208.6
7375.3,41,1,load,0.0
7405.9,45,101,return,0.0
7488.3,40,101,dump,102.0
7544.6,40,101,return,0.0
7554.7,37,1,load,0.0
7554.7,41,1,haul,154.8
7634.9,20,101,dump,134.1
7678.6,14,1,load,0.0
7678.6,37,1,haul,104.5
7685.9,20,101,return,0.0
7836.3,14,1,haul,130.9
7836.3,27,1,load,0.0
7927.2,18,101,dump,208.6
7978.6,18,101,return,0.0
8132.3,41,101,dump,154.8
8139.3,23,1,load,0.0
8139.3,27,1,haul,248.6
8178.2,41,101,return,0.0
8251.3,37,101,dump,104.5
8313.6,37,101,return,0.0
8361.6,23,1,haul,142.8
8361.6,44,1,load,0.0
8397.1,14,101,dump,130.9
8439.7,14,101,return,0.0
8548.8,25,1,load,0.0
8548.8,44,1,haul,147.8
8699.2,27,101,dump,248.6
8708.9,25,1,haul,96.0
8708.9,42,1,load,0.0
8755.2,27,101,return,0.0
8927.7,23,101,dump,142.8
8965.1,23,101,return,0.0
9021.9,10,1,load,0.0
9021.9,42,1,haul,212.7
9120.8,44,101,dump,147.8
9153.0,9,1,load,0.0
9153.0,10,1,haul,94.3
9170.4,44,101,return,0.0
9275.7,25,101,dump,96.0
9318.6,25,101,return,0.0
9379.7,1,1,load,0.0
9379.7,9,1,haul,229.4
9531.5,1,1,haul,98.8
9531.5,5,1,load,0.0
9573.9,42,101,dump,212.7
9633.7,42,101,return,0.0
9718.0,5,1,haul,140.4
9718.0,24,1,load,0.0
9719.8,10,101,dump,94.3
9770.3,10,101,return,0.0
9945.1,9,101,dump,229.4
9980.5,15,1,load,0.0
9980.5,24,1,haul,231.4
9992.2,9,101,return,0.0
10098.3,1,101,dump,98.8
10153.7,1,101,return,0.0
10189.7,6,1,load,0.0
10189.7,15,1,haul,223.7
10284.1,5,101,dump,140.4
10338.8,5,101,return,0.0
10464.8,6,1,haul,204.7
10464.8,29,1,load,0.0
10536.2,24,101,dump,231.4
10587.0,24,101,return,0.0
10665.5,29,1,haul,134.1
10665.5,30,1,load,0.0
10745.4,15,101,dump,223.7
10801.9,15,101,return,0.0
10950.1,30,1,haul,230.5
10950.1,39,1,load,0.0
11016.7,6,101,dump,204.7
11072.1,6,101,return,0.0
11149.1,13,1,load,0.0
11149.1,39,1,haul,236.1
11226.4,29,101,dump,134.1
11239.9,13,1,haul,90.8
11239.9,22,1,load,0.0
11283.6,29,101,return,0.0
11363.9,22,1,haul,99.8
11363.9,33,1,load,0.0
11505.9,30,101,dump,230.5
11558.1,30,101,return,0.0
11598.1,3,1,load,0.0
11598.1,33,1,haul,246.5
11704.8,39,101,dump,236.1
11762.9,39,101,return,0.0
11801.5,13,101,dump,90.8
11851.9,13,101,return,0.0
11906.3,3,1,haul,221.4
11906.3,32,1,load,0.0
11930.7,22,101,dump,99.8
11986.4,22,101,return,0.0
12114.4,7,1,load,0.0
12114.4,32,1,haul,147.2
12158.0,33,101,dump,246.5
12218.0,33,101,return,0.0
12269.7,7,1,haul,90.5
12269.7,46,1,load,0.0
12376.2,35,1,load,0.0
12376.2,46,1,haul,94.9
12462.1,3,101,dump,221.4
12514.8,3,101,return,0.0
12557.9,35,1,haul,147.8
12557.9,36,1,load,0.0
12680.5,32,101,dump,147.2
12738.0,32,101,return,0.0
12831.2,7,101,dump,90.5
12833.2,31,1,load,0.0
12833.2,36,1,haul,226.5
12900.7,7,101,return,0.0
12943.0,46,101,dump,94.9
12991.8,46,101,return,0.0
13020.7,8,1,load,0.0
13020.7,31,1,haul,86.6
13129.9,35,101,dump,147.8
13182.2,35,101,return,0.0
13201.3,8,1,haul,132.1
13201.3,28,1,load,0.0
13367.1,21,1,load,0.0
13367.1,28,1,haul,97.0
13388.9,36,101,dump,226.5
13437.5,36,101,return,0.0
13582.2,31,101,dump,86.6
13596.9,21,1,haul,230.4
13596.9,43,1,load,0.0
13629.8,31,101,return,0.0
13712.9,34,1,load,0.0
13712.9,43,1,haul,91.6
13763.7,8,101,dump,132.1
13825.7,8,101,return,0.0
13836.8,2,1,load,0.0
13836.8,34,1,haul,90.3
13933.9,28,101,dump,97.0
13995.3,28,101,return,0.0
14014.8,2,1,haul,135.5
14014.8,17,1,load,0.0
14152.7,21,101,dump,230.4
14196.8,16,1,load,0.0
14196.8,17,1,haul,138.2
14209.1,21,101,return,0.0
14274.4,43,101,dump,91.6
14323.2,43,101,return,0.0
14350.5,16,1,haul,95.1
14350.5,19,1,load,0.0
14407.6,34,101,dump,90.3
14469.2,34,101,return,0.0
14499.8,19,1,haul,105.0
14499.8,38,1,load,0.0
14580.9,2,101,dump,135.5
14621.6,12,1,load,0.0
14621.6,38,1,haul,130.2
14636.0,2,101,return,0.0
14762.9,17,101,dump,138.2
14817.6,17,101,return,0.0
14895.8,11,1,load,0.0
14895.8,12,1,haul,228.4
14917.3,16,101,dump,95.1
14965.4,16,101,return,0.0
15072.5,19,101,dump,105.0
15079.3,4,1,load,0.0
15079.3,11,1,haul,131.2
15122.9,19,101,return,0.0
15182.5,38,101,dump,130.2
15225.7,4,1,haul,93.4
15225.7,26,1,load,0.0
15242.1,38,101,return,0.0
15391.9,26,1,haul,127.7
15391.9,45,1,load,0.0
15451.5,12,101,dump,228.4
15498.7,12,101,return,0.0
15637.4,40,1,load,0.0
15637.4,45,1,haul,214.5
15640.1,11,101,dump,131.2
15713.9,11,101,return,0.0
15781.0,20,1,load,0.0
15781.0,40,1,haul,102.5
15787.3,4,101,dump,93.4
15844.2,4,101,return,0.0
15952.7,26,101,dump,127.7
15991.9,18,1,load,0.0
15991.9,20,1,haul,149.4
16020.1,26,101,return,0.0
16189.3,45,101,dump,214.5
16237.7,45,101,return,0.0
16256.5,18,1,haul,222.7
16256.5,41,1,load,0.0
16351.4,40,101,dump,102.5
16400.2,40,101,return,0.0
16479.9,37,1,load,0.0
16479.9,41,1,haul,136.1
16563.9,20,101,dump,149.4
16590.7,14,1,load,0.0
16590.7,37,1,haul,103.6
16614.9,20,101,return,0.0
16786.4,14,1,haul,147.1
16786.4,27,1,load,0.0
16816.2,18,101,dump,222.7
16877.5,18,101,return,0.0
17035.8,23,1,load,0.0
17035.8,27,1,haul,242.9
