t,truck_id,shovel_id,event,payload_t
5916.9,2,101,return,0.0
5950.4,18,101,dump,60.0
5996.4,18,101,return,0.0
6005.8,10,1,haul,66.6
6005.8,13,1,load,0.0
6029.9,1,5,haul,61.7
6048.3,15,101,dump,61.6
6093.4,12,101,dump,58.8
6093.4,15,101,return,0.0
6113.7,7,4,haul,63.8
6141.2,12,101,return,0.0
6160.1,4,5,load,0.0
6173.0,14,101,dump,66.2
6236.5,14,101,return,0.0
6310.4,8,3,haul,60.8
6310.4,17,3,load,0.0
6336.6,16,101,dump,61.7
6348.3,6,2,load,0.0
6348.3,20,2,haul,58.4
6401.5,16,101,return,0.0
6448.7,5,101,dump,59.9
6502.8,5,101,return,0.0
6517.2,11,1,load,0.0
6517.2,13,1,haul,58.7
6556.5,9,101,dump,65.3
6608.3,9,101,return,0.0
6608.3,10,101,dump,66.6
6655.6,10,101,return,0.0
6663.3,3,101,dump,60.7
6680.2,2,4,load,0.0
6707.1,3,101,return,0.0
6709.6,4,5,haul,69.7
6766.6,12,3,load,0.0
6766.6,17,3,haul,59.6
6886.1,19,101,dump,63.8
6928.8,19,101,return,0.0
6933.4,11,1,haul,63.0
6933.4,15,1,load,0.0
6998.4,14,5,load,0.0
7020.5,20,101,dump,58.4
7069.2,6,2,haul,63.7
7069.2,18,2,load,0.0
7072.1,2,4,haul,58.0
7072.6,20,101,return,0.0
7081.7,13,101,dump,58.7
7137.7,7,101,dump,63.8
7137.7,13,101,return,0.0
7190.5,5,3,load,0.0
7190.5,12,3,haul,62.7
7197.9,7,101,return,0.0
7197.9,8,101,dump,60.8
7278.5,1,101,dump,61.7
7278.5,8,101,return,0.0
7279.3,10,4,load,0.0
7326.9,9,1,load,0.0
7326.9,15,1,haul,64.8
7328.9,1,101,return,0.0
7426.2,14,5,haul,62.2
7483.8,11,101,dump,63.0
7484.0,16,2,load,0.0
7484.0,18,2,haul,63.5
7551.8,11,101,return,0.0
7570.8,17,101,dump,59.6
7626.3,17,101,return,0.0
7729.7,3,4,load,0.0
7729.7,10,4,haul,61.3
7752.2,6,101,dump,63.7
